dataset,dataset_shape,dataset_aug_shape,model,num_nbrs,mae_auged,mse_auged,rmse_auged,rsq_auged,expvar_auged,median_abs_err_auged
cpuSm.csv,5488,5525,lgbmr,3,1.8559936984839591,7.046175670238821,2.6544633488219085,0.97546046063761,0.9755196095680514,1.3077268702191773
cpuSm.csv,5488,5525,cbr,4,1.8519369786708646,7.159633201961516,2.6757490917426314,0.975065324936207,0.975080634558934,1.2766428990566396
cpuSm.csv,5488,5525,xgbr,4,1.9417807871328403,7.608064413595689,2.758271997754335,0.9735035847974108,0.973542289024208,1.3579695224761963
cpuSm.csv,5488,5525,lgbmr,4,1.8718991025888905,7.156046128933417,2.6750787145303625,0.9750778175455157,0.9751347408894129,1.3541682415705836
cpuSm.csv,5488,5497,cbr,5,1.8463347078087173,7.071964358369263,2.6593165209070664,0.9753706470199686,0.9753812963945416,1.274659204819109
cpuSm.csv,5488,5497,xgbr,5,1.9662790316502845,7.8521396947669135,2.8021669641131153,0.9726535499345298,0.9727348135660652,1.40142822265625
cpuSm.csv,5488,5497,lgbmr,5,1.8786211006863098,7.188218385284645,2.6810852998897006,0.9749657720348649,0.9750420282395292,1.3243367743368353
ele-1.csv,331,534,cbr,3,494.8597068644041,707122.1441463463,840.905550074648,0.5627072355546456,0.5656903407512877,268.6066611234759
ele-1.csv,331,534,xgbr,3,538.6204423206608,727757.5941536454,853.0870964641567,0.5499460272486048,0.5530623565753521,312.1983642578125
ele-1.csv,331,534,lgbmr,3,491.5665936519091,584870.9415680984,764.7685542489952,0.6383088367415929,0.6395410173126129,293.50196543942866
ele-1.csv,331,474,cbr,4,487.84662983385635,637602.5764064238,798.5002043872148,0.6056989650764765,0.6086445534447714,276.1695562530638
ele-1.csv,331,474,xgbr,4,530.3835056584056,759008.1976273034,871.2107653302405,0.53062028148218,0.5317097616929799,309.25811767578125
ele-1.csv,331,474,lgbmr,4,498.14630708594757,603157.6173948693,776.6322278883805,0.6270001383915244,0.6297091470683858,293.91790302458116
ele-1.csv,331,460,cbr,5,474.2050889917379,610827.333395474,781.5544340578422,0.6222570945762806,0.6268174061711597,263.02122004656667
ele-1.csv,331,460,xgbr,5,534.2990200694014,760669.2674373894,872.1635554397978,0.5295930561078904,0.5311873440566134,289.484619140625
ele-1.csv,331,460,lgbmr,5,492.0477972516591,560700.7775360952,748.7995576495056,0.6532559543423463,0.6546914394848363,299.1907590842818
ele-2.csv,707,921,cbr,3,54.59792399001243,7680.914930665299,87.64082913040758,0.9974301975335365,0.9974331922083395,31.833430195776145
ele-2.csv,707,921,xgbr,3,49.670850319566796,8000.616120002799,89.44616324920146,0.9973232351583108,0.9973341060040704,23.914550609375056
ele-2.csv,707,921,lgbmr,3,62.916625285486354,10989.708483778073,104.83181045740875,0.996323175009454,0.9963290434302094,34.72859761494024
ele-2.csv,707,906,cbr,4,51.82821996802667,7683.291212446365,87.65438501550487,0.9974294025013253,0.9974338164584394,29.382809480648177
ele-2.csv,707,906,xgbr,4,47.34769392804917,6226.121324149329,78.90577497337776,0.9979169275952502,0.997928152185091,22.48864699218757
ele-2.csv,707,906,lgbmr,4,68.52189905952446,13971.624304549176,118.20162564258233,0.99532551591543,0.9953287501157858,36.88404840469599
ele-2.csv,707,864,cbr,5,52.070290799620935,7492.914192427296,86.56162078211854,0.9974930969101319,0.9974980818469623,28.613364755813564
ele-2.csv,707,864,xgbr,5,46.2358736364935,5734.6607553710855,75.72754291122277,0.9980813554782845,0.9980816730357536,24.016448871093758
ele-2.csv,707,864,lgbmr,5,70.92117005337741,15899.841163599776,126.09457230031663,0.9946803927126612,0.9946804861441281,35.863970428043785
forestFires.csv,346,364,cbr,3,25.30150710691156,4493.183037586815,67.03120942953971,-0.2666037788831863,-0.25340386838640816,12.532618984995366
forestFires.csv,346,364,xgbr,3,23.60723371252287,4198.126591748811,64.7929517135067,-0.18342897693187865,-0.17745843146505624,10.23608917236328
forestFires.csv,346,364,lgbmr,3,24.160455256290174,4011.6232546675565,63.33737644288368,-0.13085470396206156,-0.12610608082894625,12.317031876704643
forestFires.csv,346,364,cbr,4,23.919360354049886,4166.8684484271,64.55128541266316,-0.17461747690596052,-0.165102954239565,12.395216818562268
forestFires.csv,346,364,xgbr,4,22.831173132103785,4026.6850787968865,63.456166593932274,-0.13510054999136756,-0.13217385550245098,10.927661895751953
forestFires.csv,346,364,lgbmr,4,26.624577806008066,3991.897002787417,63.181460910518815,-0.12529398120370172,-0.11554391574010237,14.30431698279405
forestFires.csv,346,350,cbr,5,23.87943962156626,4377.91865398677,66.16584204849788,-0.23411137814696614,-0.22708675825153168,11.16245116036334
forestFires.csv,346,350,xgbr,5,21.154253121319915,3945.7777626631287,62.81542615204587,-0.1122932190865149,-0.11114656090445907,9.287606410980224
forestFires.csv,346,350,lgbmr,5,26.55631852352154,3975.4475041630653,63.05114990357484,-0.12065695730682346,-0.1125838181572032,15.138760879224634
friedman.csv,804,939,cbr,3,1.0188251917796944,1.664157046269449,1.2900221107676602,0.9341093243592831,0.9342467254077612,0.8362526028443362
friedman.csv,804,939,xgbr,3,1.370362870752138,3.130549216610397,1.7693358122782676,0.8760489561538788,0.8765731801391333,1.1334674992028813
friedman.csv,804,939,lgbmr,3,1.2041126962646431,2.368888059382959,1.539119247941159,0.9062061870303211,0.906888227586495,0.9599649973614834
friedman.csv,804,939,cbr,4,1.0411018764078017,1.7100421088949063,1.3076857837014617,0.9322925500440311,0.9324538216497337,0.8595707367000385
friedman.csv,804,939,xgbr,4,1.3902640061495777,3.1767413237599977,1.7823415283721573,0.8742200247100715,0.8759713565685958,1.159348713751831
friedman.csv,804,939,lgbmr,4,1.2036324637629205,2.3541293503903455,1.5343172261270959,0.9067905437226705,0.9079427412392772,0.9555137594603251
friedman.csv,804,925,cbr,5,1.0305770892927844,1.6971426119330446,1.3027442619075489,0.932803293048814,0.9330878655170882,0.8732374479999425
